elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,classification/accuracy,classification/weighted_f1_score,model,n_epochs,batch_size,learning_rate_multiplier,classification_n_classes,compute_classification_metrics,aoai_endpoint,api_version,fine_tune_id,fine_tuned_model
79176.0,296.0,0.0424197702227665,0.5,0.5,0.451127827167511,0.4042225025145719,babbage,10,4,0.19882225555415778,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-ef60006e214442e4b43b2e7cb47cd0c0,babbage.ft-ef60006e214442e4b43b2e7cb47cd0c0
78216.0,296.0,0.1040078530530978,0.5,0.5,0.5375939607620239,0.5095406614098084,babbage,10,4,0.10000934681327285,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-70d9ea9a939647459f55924cffcc7f13,babbage.ft-70d9ea9a939647459f55924cffcc7f13
76616.0,296.0,0.0694284191790599,1.0,1.0,0.4661654233932495,0.448290573133791,babbage,10,4,0.17486200674814384,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-ddbdf8333ea2491cb747017cd951c7a5,babbage.ft-ddbdf8333ea2491cb747017cd951c7a5
75688.0,296.0,0.1566207354578485,0.25,0.25,0.3890977501869201,0.3681361824409753,babbage,10,4,0.10006142757288439,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-5237133fc5fc4298a76209d2f1059777,babbage.ft-5237133fc5fc4298a76209d2f1059777
77672.0,296.0,0.0215226358447882,0.5,0.5,0.4793232977390289,0.4508638179206952,babbage,10,4,0.299924891893202,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-f4c5fcc806a3476e83adb3beaaa494d1,babbage.ft-f4c5fcc806a3476e83adb3beaaa494d1
77800.0,296.0,0.0212017675928507,0.75,0.75,0.4022556245326996,0.3867441203870396,babbage,10,4,0.2996642261602244,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-d01849f7ad10493f9a6684f24783d652,babbage.ft-d01849f7ad10493f9a6684f24783d652
152844.0,588.0,0.0017145316535286,0.25,0.25,0.5131579041481018,0.4953492901209275,babbage,10,4,0.2999340751145979,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-69477aa396b04631b9ef160ccb3d990a,babbage.ft-69477aa396b04631b9ef160ccb3d990a
77672.0,296.0,0.0525156419425695,0.75,0.75,0.5451127886772156,0.5176103266948028,babbage,10,4,0.2355566175411965,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-224ff19858d34b369dc55148dd6a7e02,babbage.ft-224ff19858d34b369dc55148dd6a7e02
116120.0,440.0,0.0480056552681713,1.0,1.0,0.3458646535873413,0.331392228463824,curie,15,4,0.12396610211058563,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-a9d1c8ee79f647b893819ee9ac23f2da,curie.ft-a9d1c8ee79f647b893819ee9ac23f2da
77448.0,296.0,0.0404342056183797,0.5,0.5,0.4642857015132904,0.4412599882798702,babbage,10,4,0.24013900833023388,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-177950b9ab7a4c48ac536a55f98adfeb,babbage.ft-177950b9ab7a4c48ac536a55f98adfeb
94256.0,304.0,0.0607504707502026,0.375,0.375,0.4398496150970459,0.4135155434327407,ada,10,8,0.2426046979549465,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-be6fce0d58a2461189f15447ebde8151,ada.ft-be6fce0d58a2461189f15447ebde8151
110128.0,304.0,0.1126602999612678,0.5625,0.5625,0.3533834517002105,0.3114459333708855,curie,10,16,0.1290557558313737,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-2f5b0d2c66394ec2b642d370216585fc,curie.ft-2f5b0d2c66394ec2b642d370216585fc
47128.0,152.0,0.144634378777905,0.25,0.25,0.3665413558483124,0.3508631084861241,babbage,5,8,0.20632872533847596,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-27f52a8f84d54fa9ad240c2f97f91de9,babbage.ft-27f52a8f84d54fa9ad240c2f97f91de9
113728.0,320.0,0.1226653180975157,0.375,0.375,0.3684210479259491,0.3382626564821102,curie,10,16,0.09157144080774876,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-14bca46e5b69488a9055461a09793014,curie.ft-14bca46e5b69488a9055461a09793014
