elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,classification/accuracy,classification/weighted_f1_score,model,n_epochs,batch_size,learning_rate_multiplier,classification_n_classes,compute_classification_metrics,aoai_endpoint,api_version,fine_tune_id,fine_tuned_model
77224.0,296.0,0.0699547126397839,0.75,0.75,0.4849624037742615,0.4240020087930867,babbage,10,4,0.2075012511640645,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-43610a3930fa437482d48cba72ed8022,babbage.ft-43610a3930fa437482d48cba72ed8022
78152.0,296.0,0.0165847674852247,0.75,0.75,0.530075192451477,0.4933456875419582,babbage,10,4,0.34785066519591296,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-8cc07a128a114cbf83debdebf875e201,babbage.ft-8cc07a128a114cbf83debdebf875e201
78888.0,296.0,0.0390726477297741,0.5,0.5,0.4060150384902954,0.3505869296006363,babbage,10,4,0.22396292013941307,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-2e2803661b544e3ba197f6d4fc5a3070,babbage.ft-2e2803661b544e3ba197f6d4fc5a3070
75912.0,296.0,0.0460683138143956,0.5,0.5,0.4266917407512665,0.4131601997354647,babbage,10,4,0.23980121406495564,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-57eed7efc59f4a6f978bcd4a2b949300,babbage.ft-57eed7efc59f4a6f978bcd4a2b949300
76936.0,296.0,0.0781559984589679,0.75,0.75,0.441729336977005,0.4090036979226764,babbage,10,4,0.1876854058160593,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-08eefc465e9042d7b0aa42b37ac52db4,babbage.ft-08eefc465e9042d7b0aa42b37ac52db4
76040.0,296.0,0.0301920085258208,0.75,0.75,0.4680451154708862,0.4466440907925011,babbage,10,4,0.32197006267039285,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-43400daf317f4eebabbde1f130c57d02,babbage.ft-43400daf317f4eebabbde1f130c57d02
76612.0,292.0,0.0723174244662147,0.75,0.75,0.4154135286808014,0.3610731208240326,babbage,10,4,0.177173669776865,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-4ca508c9988b4f039fc1326c744b74f3,babbage.ft-4ca508c9988b4f039fc1326c744b74f3
77576.0,296.0,0.0913729578554814,0.75,0.75,0.3928571343421936,0.3692474231146812,babbage,10,4,0.19044077134057694,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-184d5de64c13424bbbaac50c4a8c2992,babbage.ft-184d5de64c13424bbbaac50c4a8c2992
77832.0,296.0,0.039356818367079,0.25,0.25,0.5206766724586487,0.5064735291748963,babbage,10,4,0.22745233661351325,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-b1a1a5b783fd44b6bafdc94460ab8a50,babbage.ft-b1a1a5b783fd44b6bafdc94460ab8a50
75784.0,296.0,0.0456775729255029,0.5,0.5,0.3364661633968353,0.3215088415228792,babbage,10,4,0.2290237187003918,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-c5102d838b234ed2b4926af4d0f98988,babbage.ft-c5102d838b234ed2b4926af4d0f98988
