test_f1,test_accuracy,test_precision,test_recall,deployment_id,model_id,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,classification/accuracy,classification/weighted_f1_score,model,n_epochs,batch_size,learning_rate_multiplier,classification_n_classes,compute_classification_metrics,aoai_endpoint,api_version,fine_tune_id,fine_tuned_model,name
0.432822272125486,0.47633136094674555,0.43679800387867646,0.47633136094674555,deployment-abaa1fadd934404583dd43810f3421e6,babbage.ft-f5561890f1b7434096e6e51ecd9fb412,76808.0,296.0,0.0757874717706696,0.75,0.75,0.481203019618988,0.4444762198911755,babbage,10,4,0.17985585536943738,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-f5561890f1b7434096e6e51ecd9fb412,babbage.ft-f5561890f1b7434096e6e51ecd9fb412,HD_c757d6eb-5412-4644-a235-a0e6ed368884_13
0.3197697210415588,0.34023668639053256,0.3018599629717148,0.34023668639053256,deployment-5379ad74c1c74d3290fa18a4c7f253bd,babbage.ft-eb8af71ef5b0492189b17a7208919d0d,77416.0,296.0,0.0800729867752334,1.0,1.0,0.3721804618835449,0.3455549690991445,babbage,10,4,0.23102298628647902,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-eb8af71ef5b0492189b17a7208919d0d,babbage.ft-eb8af71ef5b0492189b17a7208919d0d,HD_c757d6eb-5412-4644-a235-a0e6ed368884_14
0.550356376432364,0.5650887573964497,0.5525279517835349,0.5650887573964497,deployment-31e84a11ca7146f6bfb64f14199db357,babbage.ft-0e40b0ef930246ebb6c1f277d802407b,78408.0,296.0,0.0375942892690789,0.75,0.75,0.6146616339683533,0.6041612907281713,babbage,10,4,0.28504706514303546,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-0e40b0ef930246ebb6c1f277d802407b,babbage.ft-0e40b0ef930246ebb6c1f277d802407b,HD_c757d6eb-5412-4644-a235-a0e6ed368884_15
0.38349189774529135,0.40828402366863903,0.367544845866925,0.40828402366863903,deployment-5ce0e2316a8e4d3995d7b6c7dfb69482,babbage.ft-c07f281792f04497b34ca13cdf484068,75720.0,296.0,0.0469005424255219,0.5,0.5,0.4304511249065399,0.3984485568284883,babbage,10,4,0.27768093660537385,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-c07f281792f04497b34ca13cdf484068,babbage.ft-c07f281792f04497b34ca13cdf484068,HD_c757d6eb-5412-4644-a235-a0e6ed368884_16
0.37013532671560334,0.3875739644970414,0.36742680108718373,0.3875739644970414,deployment-f821a9648ca84703950d9e1a60fec362,babbage.ft-a74572a69e294cf98ae253387ee35c25,76196.0,292.0,0.0670506744901094,0.5,0.5,0.4981203079223633,0.46763472022374,babbage,10,4,0.23131802936656023,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-a74572a69e294cf98ae253387ee35c25,babbage.ft-a74572a69e294cf98ae253387ee35c25,HD_c757d6eb-5412-4644-a235-a0e6ed368884_17
0.34531459741947845,0.3757396449704142,0.34603996389316405,0.3757396449704142,deployment-51cc196c448f4840b45e29326874541d,babbage.ft-ef60006e214442e4b43b2e7cb47cd0c0,79176.0,296.0,0.0424197702227665,0.5,0.5,0.451127827167511,0.4042225025145719,babbage,10,4,0.19882225555415778,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-ef60006e214442e4b43b2e7cb47cd0c0,babbage.ft-ef60006e214442e4b43b2e7cb47cd0c0,HD_c757d6eb-5412-4644-a235-a0e6ed368884_18
0.4082265632940261,0.42011834319526625,0.40060156910528305,0.42011834319526625,deployment-4dca59c5cfcf4d6282ffc7c4d9d7fe31,babbage.ft-70d9ea9a939647459f55924cffcc7f13,78216.0,296.0,0.1040078530530978,0.5,0.5,0.5375939607620239,0.5095406614098084,babbage,10,4,0.10000934681327285,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-70d9ea9a939647459f55924cffcc7f13,babbage.ft-70d9ea9a939647459f55924cffcc7f13,HD_c757d6eb-5412-4644-a235-a0e6ed368884_19
0.3852836716133819,0.40532544378698226,0.41887748872175484,0.40532544378698226,deployment-991a52f8838347b48797d9dabf9b8711,babbage.ft-ddbdf8333ea2491cb747017cd951c7a5,76616.0,296.0,0.0694284191790599,1.0,1.0,0.4661654233932495,0.448290573133791,babbage,10,4,0.17486200674814384,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-ddbdf8333ea2491cb747017cd951c7a5,babbage.ft-ddbdf8333ea2491cb747017cd951c7a5,HD_c757d6eb-5412-4644-a235-a0e6ed368884_20
0.3857131817656839,0.39644970414201186,0.385385061995639,0.39644970414201186,deployment-b766718e5bcf4b33afac1da5bd621b57,babbage.ft-5237133fc5fc4298a76209d2f1059777,75688.0,296.0,0.1566207354578485,0.25,0.25,0.3890977501869201,0.3681361824409753,babbage,10,4,0.10006142757288439,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-5237133fc5fc4298a76209d2f1059777,babbage.ft-5237133fc5fc4298a76209d2f1059777,HD_c757d6eb-5412-4644-a235-a0e6ed368884_21
0.4371015895156599,0.46449704142011833,0.47526228795208364,0.46449704142011833,deployment-24330bf2a4dc47f481d99e421c9df760,babbage.ft-f4c5fcc806a3476e83adb3beaaa494d1,77672.0,296.0,0.0215226358447882,0.5,0.5,0.4793232977390289,0.4508638179206952,babbage,10,4,0.299924891893202,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-f4c5fcc806a3476e83adb3beaaa494d1,babbage.ft-f4c5fcc806a3476e83adb3beaaa494d1,HD_c757d6eb-5412-4644-a235-a0e6ed368884_22
0.3274655058305049,0.33727810650887574,0.34727631531959974,0.33727810650887574,deployment-e48cade6e5b449bbb9afaafafac1f84b,babbage.ft-d01849f7ad10493f9a6684f24783d652,77800.0,296.0,0.0212017675928507,0.75,0.75,0.4022556245326996,0.3867441203870396,babbage,10,4,0.2996642261602244,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-d01849f7ad10493f9a6684f24783d652,babbage.ft-d01849f7ad10493f9a6684f24783d652,HD_c757d6eb-5412-4644-a235-a0e6ed368884_23
0.4565457183469956,0.4822485207100592,0.4471404543541372,0.4822485207100592,deployment-994518fcc1654a9983c1c2df3782bbf5,babbage.ft-69477aa396b04631b9ef160ccb3d990a,152844.0,588.0,0.0017145316535286,0.25,0.25,0.5131579041481018,0.4953492901209275,babbage,10,4,0.2999340751145979,5,True,https://aoai.openai.azure.com/,2022-06-01-preview,ft-69477aa396b04631b9ef160ccb3d990a,babbage.ft-69477aa396b04631b9ef160ccb3d990a,HD_c757d6eb-5412-4644-a235-a0e6ed368884_24
